feature,slice,precision,recall,fbeta
workclass,Local-gov,0.7083333333333334,0.5396825396825397,0.6126126126126126
workclass,Private,0.8003169572107766,0.5147808358817533,0.6265508684863523
workclass,State-gov,0.8909090909090909,0.7538461538461538,0.8166666666666667
workclass,Self-emp-not-inc,0.6831683168316832,0.5111111111111111,0.5847457627118643
workclass,Federal-gov,0.78,0.4642857142857143,0.582089552238806
workclass,?,0.5263157894736842,0.25,0.3389830508474576
workclass,Self-emp-inc,0.7916666666666666,0.6386554621848739,0.7069767441860466
workclass,Without-pay,1.0,1.0,1.0
education,Some-college,0.8586956521739131,0.27335640138408307,0.41469816272965887
education,Bachelors,0.687374749498998,0.8365853658536585,0.7546754675467546
education,11th,1.0,0.3,0.4615384615384615
education,Assoc-acdm,0.9333333333333333,0.2916666666666667,0.4444444444444445
education,HS-grad,0.9705882352941176,0.1924198250728863,0.32116788321167883
education,Assoc-voc,0.9032258064516129,0.3783783783783784,0.5333333333333333
education,Masters,0.7894736842105263,0.8152173913043478,0.802139037433155
education,7th-8th,1.0,0.1,0.18181818181818182
education,1st-4th,1.0,0.0,0.0
education,9th,1.0,0.0,0.0
education,Prof-school,0.9032258064516129,0.84,0.8704663212435233
education,10th,1.0,0.0,0.0
education,Doctorate,0.8490566037735849,0.8653846153846154,0.8571428571428571
education,5th-6th,1.0,0.0,0.0
education,12th,1.0,0.42857142857142855,0.6
education,Preschool,1.0,1.0,1.0
marital-status,Married-civ-spouse,0.7687687687687688,0.5813777441332324,0.6620689655172414
marital-status,Divorced,0.9444444444444444,0.17708333333333334,0.29824561403508776
marital-status,Never-married,1.0,0.2692307692307692,0.42424242424242425
marital-status,Separated,1.0,0.2,0.33333333333333337
marital-status,Widowed,1.0,0.09090909090909091,0.16666666666666669
marital-status,Married-spouse-absent,1.0,0.0,0.0
marital-status,Married-AF-spouse,1.0,0.0,0.0
occupation,Protective-serv,0.9230769230769231,0.2553191489361702,0.4
occupation,Exec-managerial,0.8128491620111732,0.7329974811083123,0.7708609271523179
occupation,Other-service,0.5,0.17647058823529413,0.2608695652173913
occupation,Prof-specialty,0.8023598820058997,0.7793696275071633,0.7906976744186047
occupation,Transport-moving,0.875,0.23333333333333334,0.3684210526315789
occupation,Farming-fishing,0.4117647058823529,0.35,0.37837837837837834
occupation,Sales,0.717741935483871,0.4320388349514563,0.5393939393939394
occupation,Craft-repair,0.7681159420289855,0.27319587628865977,0.403041825095057
occupation,?,0.5263157894736842,0.25,0.3389830508474576
occupation,Tech-support,0.8181818181818182,0.33962264150943394,0.48
occupation,Handlers-cleaners,0.5,0.11764705882352941,0.19047619047619047
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Machine-op-inspct,0.7647058823529411,0.24528301886792453,0.3714285714285715
occupation,Adm-clerical,0.7209302325581395,0.3229166666666667,0.4460431654676259
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Husband,0.77007700770077,0.5882352941176471,0.6669842782277274
relationship,Unmarried,1.0,0.13157894736842105,0.23255813953488372
relationship,Not-in-family,0.9534883720930233,0.22905027932960895,0.3693693693693694
relationship,Own-child,1.0,0.2,0.33333333333333337
